Fri Aug 11 15:17:42 2023    stats.prof

         14279460 function calls (13935027 primitive calls) in 18.086 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1557    0.007    0.000    0.648    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typing\typeof.py:27(typeof)
       11    0.000    0.000    0.628    0.057 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\cpython\numbers.py:206(int_power_impl)
   740320    0.612    0.000    0.612    0.000 c:\Users\Sahas\OneDrive\Documents\Cornell Semester 2\Nd LSCO\Modelling\Python code\boltzmann_transport_git\boltzmann_transport\dispersion.py:19(dot)
     1341    0.005    0.000    0.605    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\errors.py:508(__init__)
     5485    0.486    0.000    0.597    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\llvmlite\binding\ffi.py:150(__call__)
   225721    0.216    0.000    0.564    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
   359539    0.466    0.000    0.555    0.000 c:\Users\Sahas\OneDrive\Documents\Cornell Semester 2\Nd LSCO\Modelling\Python code\boltzmann_transport_git\boltzmann_transport\dispersion.py:24(norm)
4019/4013    0.008    0.000    0.550    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typing\templates.py:349(apply)
    87925    0.099    0.000    0.526    0.000 <__array_function__ internals>:177(searchsorted)
     1298    0.004    0.000    0.521    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\types\misc.py:61(literal)
   144993    0.408    0.000    0.515    0.000 c:\Users\Sahas\OneDrive\Documents\Cornell Semester 2\Nd LSCO\Modelling\Python code\boltzmann_transport_git\boltzmann_transport\dispersion.py:81(<lambda>)
       86    0.003    0.000    0.514    0.006 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\np\npyimpl.py:335(numpy_ufunc_kernel)
    68581    0.062    0.000    0.505    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\scipy\integrate\_ivp\ivp.py:610(<listcomp>)
       14    0.000    0.000    0.502    0.036 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\codegen.py:739(finalize)
        1    0.000    0.000    0.490    0.490 c:\Users\Sahas\OneDrive\Documents\Cornell Semester 2\Nd LSCO\Modelling\Python code\boltzmann_transport_git\boltzmann_transport\dispersion.py:38(__init__)
    82/55    0.000    0.000    0.482    0.009 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\codegen.py:565(_ensure_finalized)
    69886    0.208    0.000    0.450    0.000 c:\Users\Sahas\OneDrive\Documents\Cornell Semester 2\Nd LSCO\Modelling\Python code\boltzmann_transport_git\boltzmann_transport\orbitcreation.py:251(event_fun)
    10592    0.057    0.000    0.431    0.000 C:\Users\Sahas\AppData\Roaming\Python\Python311\site-packages\colorama\win32.py:114(winapi_test)
    19344    0.014    0.000    0.431    0.000 {method 'clip' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.431    0.144 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\np\npyimpl.py:229(_build_array)
23009/22886    0.021    0.000    0.428    0.000 {built-in method builtins.any}
      971    0.003    0.000    0.428    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\lowering.py:1578(_lit_or_omitted)
    19344    0.057    0.000    0.417    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\_methods.py:127(_clip)
        6    0.000    0.000    0.416    0.069 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\cpu.py:222(get_executable)
        6    0.000    0.000    0.415    0.069 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\codegen.py:975(get_pointer_to_function)
    68581    0.126    0.000    0.402    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\scipy\integrate\_ivp\lsoda.py:180(__init__)
    10592    0.396    0.000    0.401    0.000 C:\Users\Sahas\AppData\Roaming\Python\Python311\site-packages\colorama\win32.py:170(GetConsoleMode)
    68581    0.088    0.000    0.390    0.000 <__array_function__ internals>:177(reshape)
